12:03:00 [root] [INFO] 日志系统初始化完成。文件保存至: logs/2026-02-10_12-03-00.log
12:03:02 [utills.ip_validator] [DEBUG] IP 127.0.0.3 是回环地址（本地测试用）
12:03:02 [election] [INFO] [I'm Follower - (292780094, 127.0.0.3)] Election Manager starting
12:03:02 [election] [INFO] [I'm Follower - (292780094, 127.0.0.3)] UDP listener started on UDP:9003
12:03:03 [network_manager] [DEBUG] Starting follower long-lived connection to leader at 127.0.0.1...
12:03:03 [network_manager] [DEBUG] Follower established long-lived connection to leader at 127.0.0.1
12:05:24 [server.heartbeat] [DEBUG] [I'm Follower - 292780094] Heartbeat received message: HEARTBEAT {'server_id': 736226217, 'timestamp': 1770721524.737462, 'identity': 'LEADER'} from 736226217, current memnershiplist is {604159790: '127.0.0.2', 292780094: '127.0.0.3', 736226217: '127.0.0.1'}
12:05:27 [server.heartbeat] [DEBUG] [I'm Follower - 292780094] Heartbeat received message: HEARTBEAT {'server_id': 736226217, 'timestamp': 1770721527.738188, 'identity': 'LEADER'} from 736226217, current memnershiplist is {604159790: '127.0.0.2', 292780094: '127.0.0.3', 736226217: '127.0.0.1'}
12:05:30 [server.heartbeat] [DEBUG] [I'm Follower - 292780094] Heartbeat received message: HEARTBEAT {'server_id': 736226217, 'timestamp': 1770721530.738197, 'identity': 'LEADER'} from 736226217, current memnershiplist is {604159790: '127.0.0.2', 292780094: '127.0.0.3', 736226217: '127.0.0.1'}
12:05:33 [server.heartbeat] [DEBUG] [I'm Follower - 292780094] Heartbeat received message: HEARTBEAT {'server_id': 736226217, 'timestamp': 1770721533.738205, 'identity': 'LEADER'} from 736226217, current memnershiplist is {604159790: '127.0.0.2', 292780094: '127.0.0.3', 736226217: '127.0.0.1'}
12:05:36 [server.heartbeat] [DEBUG] [I'm Follower - 292780094] Heartbeat received message: HEARTBEAT {'server_id': 736226217, 'timestamp': 1770721536.73425, 'identity': 'LEADER'} from 736226217, current memnershiplist is {604159790: '127.0.0.2', 292780094: '127.0.0.3', 736226217: '127.0.0.1'}
12:05:39 [server.heartbeat] [DEBUG] [I'm Follower - 292780094] Heartbeat received message: HEARTBEAT {'server_id': 736226217, 'timestamp': 1770721539.736625, 'identity': 'LEADER'} from 736226217, current memnershiplist is {604159790: '127.0.0.2', 292780094: '127.0.0.3', 736226217: '127.0.0.1'}
12:05:42 [server.heartbeat] [DEBUG] [I'm Follower - 292780094] Heartbeat received message: HEARTBEAT {'server_id': 736226217, 'timestamp': 1770721542.738202, 'identity': 'LEADER'} from 736226217, current memnershiplist is {604159790: '127.0.0.2', 292780094: '127.0.0.3', 736226217: '127.0.0.1'}
12:05:45 [server.heartbeat] [DEBUG] [I'm Follower - 292780094] Heartbeat received message: HEARTBEAT {'server_id': 736226217, 'timestamp': 1770721545.738187, 'identity': 'LEADER'} from 736226217, current memnershiplist is {604159790: '127.0.0.2', 292780094: '127.0.0.3', 736226217: '127.0.0.1'}
12:05:48 [server.heartbeat] [DEBUG] [I'm Follower - 292780094] Heartbeat received message: HEARTBEAT {'server_id': 736226217, 'timestamp': 1770721548.738184, 'identity': 'LEADER'} from 736226217, current memnershiplist is {604159790: '127.0.0.2', 292780094: '127.0.0.3', 736226217: '127.0.0.1'}
12:05:51 [server.heartbeat] [DEBUG] [I'm Follower - 292780094] Heartbeat received message: HEARTBEAT {'server_id': 736226217, 'timestamp': 1770721551.7376919, 'identity': 'LEADER'} from 736226217, current memnershiplist is {604159790: '127.0.0.2', 292780094: '127.0.0.3', 736226217: '127.0.0.1'}
12:05:54 [server.heartbeat] [DEBUG] [I'm Follower - 292780094] Heartbeat received message: HEARTBEAT {'server_id': 736226217, 'timestamp': 1770721554.738189, 'identity': 'LEADER'} from 736226217, current memnershiplist is {604159790: '127.0.0.2', 292780094: '127.0.0.3', 736226217: '127.0.0.1'}
12:05:57 [server.heartbeat] [DEBUG] [I'm Follower - 292780094] Heartbeat received message: HEARTBEAT {'server_id': 736226217, 'timestamp': 1770721557.734126, 'identity': 'LEADER'} from 736226217, current memnershiplist is {604159790: '127.0.0.2', 292780094: '127.0.0.3', 736226217: '127.0.0.1'}
12:06:00 [server.heartbeat] [DEBUG] [I'm Follower - 292780094] Heartbeat received message: HEARTBEAT {'server_id': 736226217, 'timestamp': 1770721560.735722, 'identity': 'LEADER'} from 736226217, current memnershiplist is {604159790: '127.0.0.2', 292780094: '127.0.0.3', 736226217: '127.0.0.1'}
12:06:03 [server.heartbeat] [DEBUG] [I'm Follower - 292780094] Heartbeat received message: HEARTBEAT {'server_id': 736226217, 'timestamp': 1770721563.738184, 'identity': 'LEADER'} from 736226217, current memnershiplist is {604159790: '127.0.0.2', 292780094: '127.0.0.3', 736226217: '127.0.0.1'}
12:06:06 [server.heartbeat] [DEBUG] [I'm Follower - 292780094] Heartbeat received message: HEARTBEAT {'server_id': 736226217, 'timestamp': 1770721566.736835, 'identity': 'LEADER'} from 736226217, current memnershiplist is {604159790: '127.0.0.2', 292780094: '127.0.0.3', 736226217: '127.0.0.1'}
12:06:09 [server.heartbeat] [DEBUG] [I'm Follower - 292780094] Heartbeat received message: HEARTBEAT {'server_id': 736226217, 'timestamp': 1770721569.7339761, 'identity': 'LEADER'} from 736226217, current memnershiplist is {604159790: '127.0.0.2', 292780094: '127.0.0.3', 736226217: '127.0.0.1'}
12:06:12 [server.heartbeat] [DEBUG] [I'm Follower - 292780094] Heartbeat received message: HEARTBEAT {'server_id': 736226217, 'timestamp': 1770721572.736598, 'identity': 'LEADER'} from 736226217, current memnershiplist is {604159790: '127.0.0.2', 292780094: '127.0.0.3', 736226217: '127.0.0.1'}
12:06:15 [server.heartbeat] [DEBUG] [I'm Follower - 292780094] Heartbeat received message: HEARTBEAT {'server_id': 736226217, 'timestamp': 1770721575.738189, 'identity': 'LEADER'} from 736226217, current memnershiplist is {604159790: '127.0.0.2', 292780094: '127.0.0.3', 736226217: '127.0.0.1'}
